N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
88,한미약품,"319,500","

				11,500
				
","

				-3.47%
				
","2,500","38,590","12,078",12.74,"8,295",164.44,1.65,
89,현대차2우B,"104,500","
0
","
0.00%
","5,000","38,127","36,485",61.22,0,12.65,N/A,
90,효성티앤씨,"862,000","
0
","
0.00%
","5,000","37,305","4,328",21.93,18,14.56,25.10,
91,GS건설,"43,450","
0
","
0.00%
","5,000","37,185","85,581",25.87,0,10.45,7.68,
92,일진머티리얼즈,"80,500","

				400
				
","

				-0.49%
				
",500,"37,119","46,111",9.98,"2,204",92.32,7.23,
93,호텔신라,"93,700","

				700
				
","

				-0.74%
				
","5,000","36,775","39,248",18.67,"3,018",-17.73,-36.74,
94,NH투자증권,"12,900","

				50
				
","

				+0.39%
				
","5,000","36,302","281,409",17.87,"7,541",4.83,10.32,
95,GS리테일,"34,100","
0
","
0.00%
","1,000","35,709","104,718",11.94,157,17.52,7.50,
96,신풍제약,"66,000","
0
","
0.00%
",500,"34,970","52,985",9.20,25,767.44,1.72,
97,현대오토에버,"127,500","
0
","
0.00%
",500,"34,966","27,424",1.35,0,45.44,11.09,
98,메리츠증권,"5,080","

				60
				
","

				-1.17%
				
","1,000","34,632","681,731",13.93,"29,504",5.61,13.08,
99,대우조선해양,"31,900","
0
","
0.00%
","5,000","34,226","107,291",7.21,0,-8.76,2.27,
100,휠라홀딩스,"56,000","
0
","
0.00%
","1,000","34,021","60,752",47.15,304,17.87,10.94,
101,한국가스공사,"36,850","
0
","
0.00%
","5,000","34,017","92,313",6.14,3,-17.33,-2.24,
102,메리츠금융지주,"25,350","
0
","
0.00%
",500,"33,972","134,011",8.02,0,5.93,16.06,
103,씨에스윈드,"80,200","

				400
				
","

				-0.50%
				
",500,"33,821","42,171",10.43,"4,285",64.63,8.19,
104,두산퓨얼셀,"49,950","
0
","
0.00%
",100,"32,714","65,494",12.02,0,282.20,4.18,
105,한국항공우주,"33,350","
0
","
0.00%
","5,000","32,508","97,475",13.59,0,422.15,6.39,
106,한화시스템,"17,150","
0
","
0.00%
","5,000","32,400","188,919",2.55,63,19.62,9.35,
107,현대미포조선,"80,600","

				600
				
","

				-0.74%
				
","5,000","32,193","39,942",10.12,"2,479",-98.41,-0.84,
108,동서,"31,750","

				50
				
","

				+0.16%
				
",500,"31,655","99,700",3.56,"2,333",27.68,8.61,
109,SK케미칼,"269,000","

				1,000
				
","

				+0.37%
				
","5,000","31,611","11,751",17.86,"6,097",12.20,30.49,
110,에스원,"82,900","
0
","
0.00%
",500,"31,501","37,999",53.89,0,21.08,10.48,
111,키움증권,"120,000","
0
","
0.00%
","5,000","31,440","26,200",23.36,0,3.20,27.63,
112,롯데쇼핑,"111,000","
0
","
0.00%
","5,000","31,401","28,289",10.52,3,-4.17,-7.70,
113,메리츠화재,"25,700","
0
","
0.00%
",500,"31,001","120,625",10.78,10,6.50,16.91,
114,한화생명,"3,520","

				25
				
","

				+0.72%
				
","5,000","30,572","868,530",7.38,"56,816",6.53,1.90,
115,만도,"64,700","
0
","
0.00%
","1,000","30,381","46,957",24.56,36,65.29,0.37,
116,한솔케미칼,"268,000","
0
","
0.00%
","5,000","30,378","11,335",41.82,0,23.42,24.50,
117,포스코인터내셔널,"24,550","
0
","
0.00%
","5,000","30,289","123,375",12.85,660,11.71,7.69,
118,CJ,"103,500","

				500
				
","

				-0.48%
				
","5,000","30,198","29,177",17.58,993,-273.09,1.89,
119,대우건설,"7,240","
0
","
0.00%
","5,000","30,091","415,623",9.94,137,8.13,11.06,
120,BGF리테일,"174,000","
0
","
0.00%
","1,000","30,074","17,284",32.56,0,23.76,18.60,
